10000,5.84,5.82,5.35,5.32
50000,5.95,6.02,5.35,3.99
100000,5.98,5.97,5.38,2.87
200000,5.97,5.98,5.36,2.74
500000,5.98,6.01,5.39,2.81
1000000,5.98,5.97,5.39,2.83
