Data Size, Mean Error, RMSE, RMSLE, STD_DEV,0,10,20,30,40,50,60,70,80,90
100.0,3.07,4.33,0.41,3.09,0.08,0.93,1.23,1.59,1.96,2.58,2.78,3.2,4.1,5.07
500.0,5.43,9.65,0.52,8.0,0.06,0.75,1.16,1.6,2.21,2.72,3.35,4.11,7.24,13.62
1000.0,4.48,8.3,0.43,7.0,0.01,0.59,1.1,1.54,1.98,2.41,2.91,3.45,4.68,9.47
5000.0,3.43,8.94,0.37,8.26,0.0,0.28,0.54,0.82,1.14,1.54,2.08,2.91,4.28,7.16
10000.0,3.11,7.92,0.33,7.29,0.0,0.27,0.52,0.8,1.11,1.45,1.88,2.63,3.89,6.62
50000.0,2.92,5.94,0.32,5.17,0.0,0.29,0.58,0.86,1.18,1.54,1.98,2.65,3.86,6.38
100000.0,2.87,5.93,0.31,5.19,0.0,0.26,0.53,0.81,1.12,1.47,1.93,2.63,3.84,6.36
