Data Size, Mean Error, RMSE, RMSLE, STD_DEV,0,10,20,30,40,50,60,70,80,90
100.0,4.57,5.25,0.53,2.62,0.35,1.51,2.93,3.63,3.96,4.21,5.03,5.11,6.14,6.72
500.0,5.69,9.12,0.53,7.15,0.0,0.79,1.46,2.56,3.33,4.15,4.78,5.5,6.35,11.39
1000.0,6.24,9.88,0.57,7.67,0.01,1.17,2.12,3.14,3.81,4.65,5.25,5.87,6.64,11.21
5000.0,4.86,8.99,0.47,7.56,0.0,0.74,1.45,2.13,2.78,3.46,4.01,4.68,5.39,8.36
10000.0,3.61,7.18,0.36,6.21,0.0,0.5,0.98,1.44,1.89,2.31,2.75,3.26,4.03,6.75
50000.0,3.21,6.04,0.34,5.12,0.0,0.41,0.81,1.21,1.59,1.99,2.43,3.0,4.07,6.76
100000.0,3.1,6.07,0.33,5.22,0.0,0.33,0.65,1.0,1.36,1.74,2.21,2.89,4.1,6.71
