Data Size, Mean Error, RMSE, RMSLE, STD_DEV,0,10,20,30,40,50,60,70,80,90
100.0,3.34,4.96,0.42,3.72,0.05,0.31,0.48,1.08,1.78,2.29,2.9,4.59,4.98,5.65
500.0,3.4,6.04,0.38,5.01,0.02,0.51,0.87,1.16,1.55,2.01,2.52,3.2,4.46,7.29
1000.0,3.83,7.18,0.4,6.08,0.02,0.42,0.71,1.08,1.48,2.03,2.65,3.58,5.05,8.14
5000.0,3.08,7.31,0.34,6.64,0.0,0.28,0.55,0.84,1.2,1.58,2.08,2.76,3.95,6.35
10000.0,2.86,6.39,0.34,5.71,0.0,0.27,0.54,0.84,1.14,1.48,1.95,2.54,3.57,6.16
50000.0,2.73,5.83,0.31,5.15,0.0,0.28,0.55,0.83,1.14,1.47,1.89,2.47,3.51,5.79
100000.0,2.63,5.46,0.3,4.79,0.0,0.28,0.55,0.83,1.13,1.45,1.86,2.43,3.41,5.62
