Data Size, Mean Error, RMSE, RMSLE, STD_DEV,0,10,20,30,40,50,60,70,80,90
100.0,2.13,2.72,0.0,1.72,0.15,0.35,1.0,1.26,1.55,1.74,2.03,2.3,3.0,3.83
500.0,3.35,6.05,0.0,5.06,0.01,0.33,0.62,1.03,1.44,1.97,2.47,3.44,4.63,6.92
1000.0,3.78,7.15,0.0,6.08,0.01,0.35,0.69,1.14,1.47,2.07,2.75,3.43,4.9,7.75
5000.0,3.07,7.4,0.0,6.74,0.0,0.29,0.56,0.87,1.2,1.57,2.1,2.7,3.83,6.27
10000.0,2.82,6.4,0.0,5.75,0.0,0.27,0.51,0.82,1.11,1.45,1.88,2.53,3.66,6.04
50000.0,2.7,5.74,0.0,5.07,0.0,0.27,0.55,0.84,1.14,1.48,1.9,2.47,3.46,5.74
100000.0,2.6,5.38,0.0,4.7,0.0,0.28,0.55,0.84,1.13,1.45,1.87,2.43,3.37,5.54
