Data Size, Mean Error, RMSE, RMSLE, STD_DEV,0,10,20,30,40,50,60,70,80,90
100.0,2.45,3.09,0.35,1.92,0.17,0.44,0.7,0.93,1.58,2.39,2.87,3.01,3.66,4.67
500.0,3.4,5.98,0.37,4.94,0.02,0.5,0.94,1.21,1.55,2.1,2.69,3.16,4.76,6.97
1000.0,3.5,6.61,0.37,5.61,0.01,0.41,0.72,1.01,1.44,1.93,2.49,3.35,4.54,6.78
5000.0,2.92,7.09,0.33,6.47,0.0,0.25,0.5,0.77,1.13,1.48,1.89,2.55,3.69,6.16
10000.0,2.66,6.0,0.31,5.38,0.0,0.24,0.49,0.74,1.02,1.35,1.75,2.35,3.39,5.79
50000.0,2.49,5.35,0.29,4.74,0.0,0.23,0.47,0.72,0.99,1.32,1.74,2.33,3.29,5.48
100000.0,2.43,5.31,0.28,4.72,0.0,0.22,0.45,0.69,0.95,1.27,1.67,2.24,3.2,5.3
